hash,malware,label
0000f373c9207f635ce55526a5f93c67,1,adware
0001cdbcc37e278ca5d5d0f982490e14,1,adware
0003a30d2425bb98a5fac1612a7d4114,1,trojan
00072e0a006ad0316afbe33d64b8c3a4,1,downloader
0007f875d0ea7fe2c7f92556e3fdba88,1,adware
0009eba10778a355bedba90b79de175c,1,ransomware
000af5bfb6a622bc46a219a5d6326541,1,adware
000bb339dba05ea8f454258721dded35,1,trojan
000ef25c883c594da3904f8d79b7b682,1,adware
0011676bd75d61ef9d67f768b4ced21c,1,adware
001242b1070f146b490c2cd6596558dd,1,adware
0014e5953c39f4491431076098f9b7a6,1,downloader
00167c460ad7419af00a939451f63d92,1,adware
00168b940ecc8fda374dc921c67ac5d9,1,unknown
001795a3ef48c4087944786735b2757d,1,adware
001899cac5b14acd30fd7db799d4a6fd,1,adware
00189e01ea0941d769e1d3da79ba4d25,1,unknown
001a35bd84616e88faf8bea86519b855,1,adware
001b25696dac6baf3cb02abce036d70f,1,adware
001b557e9b3c5e946cdbd9ec1bee9311,1,adware
001e3f88aab779ba3fc6fcf8c01123d5,1,adware
0022a631827668c87d50b24d3cd2e7dd,1,trojan
002366b2a0f6c3fe5d5cb6c7125e892b,1,adware
0023a7812cd498022e40af74a439fdf6,1,adware
0023cb8d80c75853544427fe9cbb5bb0,1,trojan
0024b5cca7a5ee7f14243f3704d30e40,1,adware
002a129ecb61e54504903183aaeb34e4,1,adware
002a4383e3ef41f65d9041bf3cf51bc5,1,dropper
002aa89b9686e8c82ec938b6145abb84,1,adware
002c7785bae55b5aa09b43d606cbd6af,1,adware
002d2b3e2ddbc4100a4bdf4c7f39cd80,1,adware
002f3d7b2b4962b077970a63db6a6d8f,1,spyware
002f48371c84a296b1143c9e46c7f03a,1,adware
002fe8e54c6dcf7160843282e6052aca,1,worm
0030c4ca6785dcecc15b975be34abc09,1,unknown
00311e8deabd64e4292372319e458670,1,dropper
003304da1053bb9f197dab636c288cc1,1,adware
0033949c9234c66186f2706421c643b7,1,downloader
00341cdf0dff660a82ddf9a467e5af58,1,unknown
00352d11c4baba43cb5675393114cea7,1,adware
00375d73e30f85b7378676ed381d5f26,1,adware
003b91d240af4271be31a720761de281,1,trojan
003c7709b2e7b088d0944b177f71c17d,1,dropper
003df8d9ae7fa9b9e2488bdb8f1cde26,1,trojan
00430f1edfc078c4ac9a0c9c0cb552f5,1,adware
004532c93f1db822656f3695e44ce83a,1,unknown
0049502d8e4cf72e47a3037ad4eb6f07,1,adware
0049c214b75a1ac34c9f8cfb6fd090b3,1,trojan
004a0a13e95994970d6d9e40ff165107,1,adware
004b4c37672e4872971d0f27c787e43b,1,adware
004bec15f2e6b60a429d97924225ea3b,1,downloader
004c33c6556b5c5bbf256846e65d36f8,1,adware
004e1115212614387f6f0b52b332ce91,1,adware
005029d0093ecb8c1735031f13747997,1,adware
